"","job.title","company.name","location","job.description","job.seen.beacon","job.id","location.type"
"852","Senior Machine Learning Engineer","Drizly","","Drizly offers a huge selection and competitive pricing with a side of personalized content.
 You have a solid foundation in software engineering, sound design…","Senior Machine Learning EngineerDrizly3.0Remote$160,395 - $188,700 a yearDrizly offers a huge selection and competitive pricing with a side of personalized content.
 You have a solid foundation in software engineering, sound design…
30+ days ago·More...View all Drizly jobs in Remote - Remote jobsSalary Search: Senior Machine Learning Engineer salaries in Remote","job_494e7496caabd40a","Remote"
"952","Data Scientist","Axiologic Solutions","Chantilly, VA+2 locations","Support the analytics team to identify and develop actionable insights through program definition, application of statistical models, and analysis against…","newData ScientistAxiologic Solutions4.4Chantilly, VA+2 locationsSupport the analytics team to identify and develop actionable insights through program definition, application of statistical models, and analysis against…
4 days ago·More...View all Axiologic Solutions jobs in Chantilly, VA - Chantilly jobsSalary Search: Data Scientist salaries in Chantilly, VASee popular questions & answers about Axiologic Solutions","job_d818800a5c630ca5",""
"1052","Vice President, Data Scientist","Regional Finance","Dallas, TX 75211+1 location","Bachelor’s Degree plus 12 years of experience in data analytics, or master’s degree plus 10 years of experience in data analytics, or PhD plus 8 years of…","newVice President, Data ScientistRegional Finance2.9Dallas, TX 75211+1 locationEasily applyBachelor’s Degree plus 12 years of experience in data analytics, or master’s degree plus 10 years of experience in data analytics, or PhD plus 8 years of…
3 days ago·More...View all Regional Finance jobs in Dallas, TX - Dallas jobsSalary Search: Vice President, Data Scientist salaries in Dallas, TXSee popular questions & answers about Regional Finance","job_c676a5a23a9c3c51",""
"1152","Data Annotation Supervisor","Tesla","Buffalo, NY 14220 (Tifft area)+1 location","Own the data annotation pipeline, ensuring quality of data annotation for the entire team.
 Commitment to data accuracy and throughput.","Data Annotation SupervisorTesla3.4Buffalo, NY 14220 (Tifft area)+1 locationOwn the data annotation pipeline, ensuring quality of data annotation for the entire team.
 Commitment to data accuracy and throughput.
30+ days ago·More...View all Tesla jobs in Buffalo, NY - Buffalo jobsSalary Search: Data Annotation Supervisor salaries in Buffalo, NYSee popular questions & answers about Tesla","job_15f6ae4fc9c97bb3",""
"1252","Research Data Scientist","Highmark Health","Pittsburgh, PA","Self-directed researching new analytical skills and approaches, building relationships internally and externally to transfer knowledge and maintain their…","newResearch Data ScientistHighmark Health3.2Pittsburgh, PASelf-directed researching new analytical skills and approaches, building relationships internally and externally to transfer knowledge and maintain their…
Today·More...View all Highmark Health jobs in Pittsburgh, PA - Pittsburgh jobsSalary Search: Research Data Scientist salaries in Pittsburgh, PASee popular questions & answers about Highmark Health","job_586fd20fc5df61ce",""
"1352","Machine Learning Engineer","Ivy Tech Solutions inc","","Supervising the data acquisition process if more data is needed.
 Verifying data quality, and/or ensuring it via data cleaning.
 Analysis- 50% of the time.","Machine Learning EngineerIvy Tech Solutions incRemote$75 an hourSupervising the data acquisition process if more data is needed.
 Verifying data quality, and/or ensuring it via data cleaning.
 Analysis- 50% of the time.
30+ days ago·More...View all Ivy Tech Solutions inc jobs in Remote - Remote jobsSalary Search: Machine Learning Engineer salaries in Remote","job_42de6a5544b2c35d","Remote"
"1452","Data Scientist, Developer Productivity","Salesforce","California+3 locations","Understanding of data governance practices such as metadata management, data lineage, and data glossaries is a plus.
 Analyzes data using Jupyter notebooks.","newData Scientist, Developer ProductivitySalesforce4.3California+3 locationsUnderstanding of data governance practices such as metadata management, data lineage, and data glossaries is a plus.
 Analyzes data using Jupyter notebooks.
6 days ago·More...View all Salesforce jobs in California - California jobsSalary Search: Data Scientist, Developer Productivity salaries in CaliforniaSee popular questions & answers about Salesforce","job_7b6b775f88638732",""
"1552","Data Scientist - Reinforcement Learning (NO C2C!)","Braintrust","San Francisco, CA 94147 (Marina area)•","ESTIMATED DURATION: 40Hrs/Week - Long-term, ongoing project.
 JOB TYPE: Freelance, Contract Position - No agencies (See notes below).
 ML Framework is a plus.","newData Scientist - Reinforcement Learning (NO C2C!)Braintrust4.3San Francisco, CA 94147 (Marina area)•RemoteEasily applyESTIMATED DURATION: 40Hrs/Week - Long-term, ongoing project.
 JOB TYPE: Freelance, Contract Position - No agencies (See notes below).
 ML Framework is a plus.
7 days ago·More...View all Braintrust jobs in San Francisco, CA - San Francisco jobsSalary Search: Data Scientist - Reinforcement Learning (NO C2C!) salaries in San Francisco, CA","job_22bd21d4e11810d3","Remote"
"id53","Lead Data Scientist","GEICO","Chevy Chase, MD 20815","Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data…","Lead Data ScientistGEICO3.4Chevy Chase, MD 20815Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data…
17 days ago·More...View all GEICO jobs in Chevy Chase, MD - Chevy Chase jobsSalary Search: Lead Data Scientist salariesSee popular questions & answers about GEICO","job_70a223b978ac1295",""
"253","Data Scientist","Aruba Networks","San Jose, CA 95002","Work with experienced data scientists and domain experts to identify and formalize machine learning problems for wireless and wired network diagnostics, root…","Data ScientistAruba Networks4.1San Jose, CA 95002Work with experienced data scientists and domain experts to identify and formalize machine learning problems for wireless and wired network diagnostics, root…
12 days ago·More...View all Aruba Networks jobs in San Jose, CA - San Jose jobsSalary Search: Data Scientist salaries in San Jose, CASee popular questions & answers about Aruba Networks","job_5dcd2347cd9a0d74",""
"353","People Analytics Senior Data Scientist","PayPal","New York, NY 10014 (West Village area)+5 locations","3+ Years working as a data scientist or applied quantitative researcher.
 5+ Years industry hands-on experience deriving insights from people/employee data with…","People Analytics Senior Data ScientistPayPal3.9New York, NY 10014 (West Village area)+5 locations3+ Years working as a data scientist or applied quantitative researcher.
 5+ Years industry hands-on experience deriving insights from people/employee data with…
30+ days ago·More...View all PayPal jobs in New York, NY - New York jobsSalary Search: People Analytics Senior Data Scientist salaries in New York, NYSee popular questions & answers about PayPal","job_c3287184e14669d9",""
"453","Data Science Apprentice","Simple Technology Solutions","Washington, DC 20006 (Downtown area)•","As a Data Science / Applied Machine Intelligence Apprentice you will gain hands-on experience with a wide variety of tools such as Hadoop, Spark, Kafka, and…","Data Science ApprenticeSimple Technology Solutions3.7Washington, DC 20006 (Downtown area)•RemoteEasily applyAs a Data Science / Applied Machine Intelligence Apprentice you will gain hands-on experience with a wide variety of tools such as Hadoop, Spark, Kafka, and…
30+ days ago·More...View all Simple Technology Solutions jobs in Washington, DC - Washington jobsSalary Search: Data Science Apprentice salaries in Washington, DCSee popular questions & answers about Simple Technology Solutions","job_2246356412aa584a","Remote"
"553","Data Scientist","T-Mobile","Overland Park, KS 66213","Provide guidance to the data science and measurement science teams on approach and methodologies as a subject matter expert.
 At least 18 years of age.","Data ScientistT-Mobile3.8Overland Park, KS 66213Provide guidance to the data science and measurement science teams on approach and methodologies as a subject matter expert.
 At least 18 years of age.
24 days ago·More...View all T-Mobile jobs in Overland Park, KS - Overland Park jobsSalary Search: Data Scientist salaries in Overland Park, KSSee popular questions & answers about T-Mobile","job_04bf7effdd1d7455",""
"653","Data Scientist","Alldus","New York, NY","Good understanding of modern machine learning algorithms (tree models, SVM, deep learning).
 3+ years of experience as a Data Scientist building machine learning…","Data ScientistAlldusNew York, NYGood understanding of modern machine learning algorithms (tree models, SVM, deep learning).
 3+ years of experience as a Data Scientist building machine learning…
30+ days ago·More...View all Alldus jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NY","job_8da23591cc33822a",""
"753","Data Scientist - Finance","Mercy","Springfield, MO 65804","Understanding of scientific standards for communication of health care data in the US.
 The candidate should be able to effectively document, develop, and…","Data Scientist - FinanceMercy3.6Springfield, MO 65804Understanding of scientific standards for communication of health care data in the US.
 The candidate should be able to effectively document, develop, and…
10 days ago·More...View all Mercy jobs in Springfield, MO - Springfield jobsSalary Search: Data Scientist - Finance salaries in Springfield, MOSee popular questions & answers about Mercy","job_a28ab82f5c99243a",""
"853","Data Scientist","Sift Media","Durham, NC","Provide the data science team with valuable insights, analyses, and reports.
 Experiment result analysis (slicing and dicing the data all ways that are relevant)…","Data ScientistSift MediaDurham, NCProvide the data science team with valuable insights, analyses, and reports.
 Experiment result analysis (slicing and dicing the data all ways that are relevant)…
10 days ago·More...View all Sift Media jobs in Durham, NC - Durham jobsSalary Search: Data Scientist salaries in Durham, NC","job_85642b2af67f37b1",""
"953","Data Scientist","Mobalytics","","Your expertise with data analysis tools along with your deep domain knowledge of games will allow you to connect the dots.","Data ScientistMobalyticsRemoteEasily applyYour expertise with data analysis tools along with your deep domain knowledge of games will allow you to connect the dots.
30+ days ago·More...View all Mobalytics jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_7437c34ae2951ff8","Remote"
"1053","Sr. Data Scientist","S&P Global","Richmond, VA+3 locations","Supportive community of data scientists and machine learning engineers.
 The Data Scientist is a member of S&P Global Market Intelligence's Data Science team who…","Sr. Data ScientistS&P Global3.9Richmond, VA+3 locations$55,900 - $155,900 a yearSupportive community of data scientists and machine learning engineers.
 The Data Scientist is a member of S&P Global Market Intelligence's Data Science team who…
30+ days ago·More...View all S&P Global jobs in Richmond, VA - Richmond jobsSalary Search: Sr. Data Scientist salaries in Richmond, VASee popular questions & answers about S&P Global","job_cc2ea7ac2adaffd3",""
"1153","Staff Data Scientist","Galileo Financial Technologies","Utah•","A track record of successfully mentoring machine learning engineers and data scientists while developing tools and techniques that make whole teams better…","Staff Data ScientistGalileo Financial Technologies3.2Utah•RemoteA track record of successfully mentoring machine learning engineers and data scientists while developing tools and techniques that make whole teams better…
10 days ago·More...View all Galileo Financial Technologies jobs in Utah - Utah jobsSalary Search: Staff Data Scientist salaries in UtahSee popular questions & answers about Galileo Financial Technologies","job_2f01a2e8604ca7ac","Remote"
"1253","Sr. Data Scientist","Cross Screen Media","Alexandria, VA•","We expect all data science team members to be hands-on with respect to the analysis of our data, using the full suite of Cross Screen Media's technical tools to…","Sr. Data ScientistCross Screen Media4.0Alexandria, VA•RemoteEasily applyWe expect all data science team members to be hands-on with respect to the analysis of our data, using the full suite of Cross Screen Media's technical tools to…
Active 5 days ago·More...View all Cross Screen Media jobs in Alexandria, VA - Alexandria jobsSalary Search: Sr. Data Scientist salaries in Alexandria, VA","job_e028c65557e72754","Remote"
"1353","Data Scientist (Remote)","Wurl, Inc","California•","Contributing to data processing and machine learning initiatives.
 The ideal candidate is experienced with Big Data, ML processes, SQL, Python, and is most…","Data Scientist (Remote)Wurl, IncCalifornia•RemoteEasily applyContributing to data processing and machine learning initiatives.
 The ideal candidate is experienced with Big Data, ML processes, SQL, Python, and is most…
30+ days ago·More...View all Wurl, Inc jobs in California - California jobsSalary Search: Data Scientist (Remote) salaries in California","job_4dc72d313dedb29d","Remote"
"1453","Data Scientist","Engine No. 1","San Francisco, CA","The DS will identify, procure, and integrate both traditional data and ESG data from multiple sources and combine that data with relevant financial information…","Data ScientistEngine No. 1San Francisco, CAEasily applyThe DS will identify, procure, and integrate both traditional data and ESG data from multiple sources and combine that data with relevant financial information…
30+ days ago·More...View all Engine No. 1 jobs in San Francisco, CA - San Francisco jobsSalary Search: Data Scientist salaries in San Francisco, CA","job_cee93bfef3ce5532",""
"1553","Data Scientist","American Residential Warranty","Boca Raton, FL 33431","Manage data analysis and modeling projects leveraging appropriate statistical, mathematical or machine learning tools to support business strategies and…","newData ScientistAmerican Residential Warranty3.4Boca Raton, FL 33431Up to $100,000 a yearEasily applyManage data analysis and modeling projects leveraging appropriate statistical, mathematical or machine learning tools to support business strategies and…
Today·More...View all American Residential Warranty jobs in Boca Raton, FL - Boca Raton jobsSalary Search: Data Scientist salaries in Boca Raton, FLSee popular questions & answers about American Residential Warranty","job_5743eef1aa091821",""
"id54","Senior Data Analyst","Pegasystems","Cambridge, MA 02142 (East Cambridge area)•","As the Senior Analyst, you will partner with the Ecosystem team to ensure that the reporting & analytics that supports their business is completed accurately,…","newSenior Data AnalystPegasystems3.6Cambridge, MA 02142 (East Cambridge area)•RemoteAs the Senior Analyst, you will partner with the Ecosystem team to ensure that the reporting & analytics that supports their business is completed accurately,…
3 days ago·More...View all Pegasystems jobs in Cambridge, MA - Cambridge jobsSalary Search: Senior Data Analyst salaries in Cambridge, MASee popular questions & answers about Pegasystems","job_d86efc7c2858e03c","Remote"
"254","Sr. Data Analyst (Remote)","Coinme","Washington State•","Troubleshoot complex data-related issues and serve as a Data Steward to ensure data integrity across multiple source systems.
 401k with up to 4% vested match.","newSr. Data Analyst (Remote)CoinmeWashington State•RemoteEasily applyTroubleshoot complex data-related issues and serve as a Data Steward to ensure data integrity across multiple source systems.
 401k with up to 4% vested match.
6 days ago·More...View all Coinme jobs in Washington State - Washington State jobsSalary Search: Sr. Data Analyst (Remote) salaries in Washington State","job_ef44b5bd06c55d29","Remote"
"354","Machine Learning Scientist - Telecommute","UnitedHealth Group","Minnetonka, MN 55345•Temporarily ","Our team conducts cutting-edge research in the health care space and incubates data-driven digital solutions which aim to improve patients’ health outcomes,…","newMachine Learning Scientist - TelecommuteUnitedHealth Group3.6Minnetonka, MN 55345•Temporarily RemoteOur team conducts cutting-edge research in the health care space and incubates data-driven digital solutions which aim to improve patients’ health outcomes,…
3 days ago·More...View all UnitedHealth Group jobs in Minnetonka, MN - Minnetonka jobsSalary Search: Machine Learning Scientist - Telecommute salariesSee popular questions & answers about UnitedHealth Group","job_9561512fd5ab8ae8","Remote"
"454","Deep Learning Engineer, Autopilot AI","Tesla","Palo Alto, CA","Additional requirements include the ability to read and implement related academic literature and experience in applying state of the art deep learning models…","newDeep Learning Engineer, Autopilot AITesla3.4Palo Alto, CAAdditional requirements include the ability to read and implement related academic literature and experience in applying state of the art deep learning models…
4 days ago·More...View all Tesla jobs in Palo Alto, CA - Palo Alto jobsSalary Search: Deep Learning Engineer, Autopilot AI salaries in Palo Alto, CASee popular questions & answers about Tesla","job_f65cc30ac871c13d",""
"554","Avail - Operational Research Data Scientist (Remote Home Bas...","Allstate","Northbrook, IL•","Extensive experience in leading teams and cross functional projects across data, analytics, technology and business Proven ability to manage teams overseeing…","Avail - Operational Research Data Scientist (Remote Home Bas...Allstate3.7Northbrook, IL•Remote$112,800 - $196,800 a yearExtensive experience in leading teams and cross functional projects across data, analytics, technology and business Proven ability to manage teams overseeing…
30+ days ago","sj_02694add8c3f8fb6","Remote"
"654","Data Science Engineer","Neuberger Berman","New York, NY","The primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems.","Data Science EngineerNeuberger Berman3.8New York, NYThe primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems.
30+ days ago·More...View all Neuberger Berman jobs in New York, NY - New York jobsSalary Search: Data Science Engineer salaries in New York, NYSee popular questions & answers about Neuberger Berman","job_7c1555c09a3b13c6",""
"754","Freelance Backend Developer (Machine Learning)","Smart Design","Brooklyn, NY","3 to 5 years full-time or freelance experience.
 Smart Design is looking for a Freelance Mid to Sr-level Backend Developer (Machine Learning/Python) to work…","newFreelance Backend Developer (Machine Learning)Smart Design4.3Brooklyn, NYEasily apply3 to 5 years full-time or freelance experience.
 Smart Design is looking for a Freelance Mid to Sr-level Backend Developer (Machine Learning/Python) to work…
5 days ago·More...View all Smart Design jobs in Brooklyn, NY - Brooklyn jobsSalary Search: Freelance Backend Developer (Machine Learning) salaries in Brooklyn, NY","job_834fcadbf4d35768",""
"854","Associate Data Scientist","Kite Pharma","","Discovers new use cases for applied data science and machine learning opportunities by exploring diverse datasets, assessing feasibility and designing prototype…","Associate Data ScientistKite Pharma3.7RemoteDiscovers new use cases for applied data science and machine learning opportunities by exploring diverse datasets, assessing feasibility and designing prototype…
18 days ago·More...View all Kite Pharma jobs in Remote - Remote jobsSalary Search: Associate Data Scientist salaries in RemoteSee popular questions & answers about Kite Pharma","job_485ec05f9b862f83","Remote"
"954","Senior Data Scientist","Possible Finance","","Key responsibilities including; Life cycle credit policy management ranging from acquisition to collections, underwriting/machine learning models development,…","Senior Data ScientistPossible Finance4.9RemoteKey responsibilities including; Life cycle credit policy management ranging from acquisition to collections, underwriting/machine learning models development,…
27 days ago·More...View all Possible Finance jobs in Remote - Remote jobsSalary Search: Senior Data Scientist salaries in RemoteSee popular questions & answers about Possible Finance","job_b31b554d5310bf6f","Remote"
"1054","Health Scientist/Data Scientist","Vinformatix","Baton Rouge, LA 70802 (Downtown area)•Temporarily ","The selected candidate will support the organization’s mission to improve the health workforce through scientific research, evaluation of federal workforce…","Health Scientist/Data ScientistVinformatixBaton Rouge, LA 70802 (Downtown area)•Temporarily Remote$33 - $50 an hourEasily applyThe selected candidate will support the organization’s mission to improve the health workforce through scientific research, evaluation of federal workforce…
Active 6 days ago·More...View all Vinformatix jobs in Baton Rouge, LA - Baton Rouge jobsSalary Search: Health Scientist/Data Scientist salaries in Baton Rouge, LA","job_2b1dffe0d50fe01c","Remote"
"1154","Data Scientist - Product & Engineering","Lacework","California•","3+ years experience developing production software systems such as data pipelines, deployed machine learning models, or dashboards.","Data Scientist - Product & EngineeringLacework5.0California•RemoteEasily apply3+ years experience developing production software systems such as data pipelines, deployed machine learning models, or dashboards.
24 days ago·More...View all Lacework jobs in California - California jobsSalary Search: Data Scientist - Product & Engineering salaries in California","job_1a5909aaa560bb40","Remote"
"1254","Senior Data Engineer","SFL Scientific","+1 location","Collaborate with data engineers, data scientists, and business leaders to implement data science engineering solutions based on agile business priorities and…","Senior Data EngineerSFL Scientific+1 locationRemote$120,000 - $140,000 a yearEasily applyCollaborate with data engineers, data scientists, and business leaders to implement data science engineering solutions based on agile business priorities and…
Active 7 days ago·More...View all SFL Scientific jobs in Remote - Remote jobsSalary Search: Senior Data Engineer salaries in Remote","job_58b8e77d203907ca","Remote"
"1354","Data Scientist, Analytics - Messaging Platform","Facebook","","Apply analytical skills to gain deep insights into Messenger’s platform performance and how it affects end user experience.","Data Scientist, Analytics - Messaging PlatformFacebook4.1RemoteApply analytical skills to gain deep insights into Messenger’s platform performance and how it affects end user experience.
10 days ago·More...View all Facebook jobs in Remote - Remote jobsSalary Search: Data Scientist, Analytics - Messaging Platform salaries in RemoteSee popular questions & answers about Facebook","job_7231b7ac65f908b5","Remote"
"1454","Senior Data Analyst","Piper Companies","","Keywords: Senior data analyst, data analyst, data analytics, data analysis, systems analyst, cost benefit analysis, business case submissions, performance…","Senior Data AnalystPiper Companies4.5Remote$93,000 - $104,000 a yearKeywords: Senior data analyst, data analyst, data analytics, data analysis, systems analyst, cost benefit analysis, business case submissions, performance…
10 days ago·More...View all Piper Companies jobs in Remote - Remote jobsSalary Search: Senior Data Analyst salaries in RemoteSee popular questions & answers about Piper Companies","job_6604288da95bbd4d","Remote"
"1554","Data Science Associate","Leumi USA","New York, NY 10017 (Midtown area)","Select and apply data mining and machine learning techniques to solve business problems.
 Execute end-to-end data science workflows, from data collection and…","Data Science AssociateLeumi USA3.7New York, NY 10017 (Midtown area)Easily applySelect and apply data mining and machine learning techniques to solve business problems.
 Execute end-to-end data science workflows, from data collection and…
30+ days ago·More...View all Leumi USA jobs in New York, NY - New York jobsSalary Search: Data Science Associate salaries in New York, NY","job_9193bf84960954f8",""
"id55","Data Scientist - Product & Engineering","Lacework","California•","3+ years experience developing production software systems such as data pipelines, deployed machine learning models, or dashboards.","Data Scientist - Product & EngineeringLacework5.0California•RemoteEasily apply3+ years experience developing production software systems such as data pipelines, deployed machine learning models, or dashboards.
24 days ago·More...View all Lacework jobs in California - California jobsSalary Search: Data Scientist - Product & Engineering salaries in California","job_1a5909aaa560bb40","Remote"
"255","Senior Data Engineer","SFL Scientific","+1 location","Collaborate with data engineers, data scientists, and business leaders to implement data science engineering solutions based on agile business priorities and…","Senior Data EngineerSFL Scientific+1 locationRemote$120,000 - $140,000 a yearEasily applyCollaborate with data engineers, data scientists, and business leaders to implement data science engineering solutions based on agile business priorities and…
Active 7 days ago·More...View all SFL Scientific jobs in Remote - Remote jobsSalary Search: Senior Data Engineer salaries in Remote","job_58b8e77d203907ca","Remote"
"355","Data Scientist, Analytics - Messaging Platform","Facebook","","Apply analytical skills to gain deep insights into Messenger’s platform performance and how it affects end user experience.","Data Scientist, Analytics - Messaging PlatformFacebook4.1RemoteApply analytical skills to gain deep insights into Messenger’s platform performance and how it affects end user experience.
10 days ago·More...View all Facebook jobs in Remote - Remote jobsSalary Search: Data Scientist, Analytics - Messaging Platform salaries in Remote","job_7231b7ac65f908b5","Remote"
"455","Senior Data Analyst","Piper Companies","","Keywords: Senior data analyst, data analyst, data analytics, data analysis, systems analyst, cost benefit analysis, business case submissions, performance…","Senior Data AnalystPiper Companies4.5Remote$93,000 - $104,000 a yearKeywords: Senior data analyst, data analyst, data analytics, data analysis, systems analyst, cost benefit analysis, business case submissions, performance…
10 days ago·More...View all Piper Companies jobs in Remote - Remote jobsSalary Search: Senior Data Analyst salaries in Remote","job_6604288da95bbd4d","Remote"
"555","Data Science Associate","Leumi USA","New York, NY 10017 (Midtown area)","Select and apply data mining and machine learning techniques to solve business problems.
 Execute end-to-end data science workflows, from data collection and…","Data Science AssociateLeumi USA3.7New York, NY 10017 (Midtown area)Easily applySelect and apply data mining and machine learning techniques to solve business problems.
 Execute end-to-end data science workflows, from data collection and…
30+ days ago·More...View all Leumi USA jobs in New York, NY - New York jobsSalary Search: Data Science Associate salaries in New York, NY","job_9193bf84960954f8",""
"655","Data Scientist","Opanga Networks","Seattle, WA 98164 (Downtown area)","Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality reports and dashboards integrated with our…","newData ScientistOpanga NetworksSeattle, WA 98164 (Downtown area)From $65,000 a yearEasily applyYour primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality reports and dashboards integrated with our…
Active 4 days ago·More...View all Opanga Networks jobs in Seattle, WA - Seattle jobsSalary Search: Data Scientist salaries in Seattle, WA","job_03fd505fafd1e27d",""
"755","Data Collection Specialist - Amazon Astro","Amazon.com Services LLC","Arlington, VA","1+ year of experience research, data collection, data analysis, utilizing data to drive process and system improvement, and effect quality assurance.","newData Collection Specialist - Amazon AstroAmazon.com Services LLC3.5Arlington, VA1+ year of experience research, data collection, data analysis, utilizing data to drive process and system improvement, and effect quality assurance.
6 days ago·More...View all Amazon.com Services LLC jobs in Arlington, VA - Arlington jobsSalary Search: Data Collection Specialist - Amazon Astro salaries in Arlington, VA","job_4b6f5f687265a2cc",""
"855","Data Scientist- Enterprise Product Analytics","Adroitent","New York, NY","Experienced in a R&D Centre of Excellence group doing POC for Pre Sales and R&D in upcoming technologies that include Big Data, machine learning algorithms.","Data Scientist- Enterprise Product AnalyticsAdroitentNew York, NYExperienced in a R&D Centre of Excellence group doing POC for Pre Sales and R&D in upcoming technologies that include Big Data, machine learning algorithms.
30+ days ago·More...View all Adroitent jobs in New York, NY - New York jobsSalary Search: Data Scientist- Enterprise Product Analytics salaries in New York, NY","job_610783e427e6eabc",""
"955","Data Scientist","SentiLink","","You should be interested in having end-to-end ownership and a fast-moving environment where deep domain understanding drives development and unusual insights…","Data ScientistSentiLinkRemoteYou should be interested in having end-to-end ownership and a fast-moving environment where deep domain understanding drives development and unusual insights…
30+ days ago·More...View all SentiLink jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_ce8a5b1bbf113056","Remote"
"1055","Blackstone Data Science - Private Equity Associate","Blackstone Group","New York, NY","We are a team of data scientists, engineers, and strategists that analyzes complex datasets, develops predictive and analytical models, builds production…","Blackstone Data Science - Private Equity AssociateBlackstone Group3.7New York, NYWe are a team of data scientists, engineers, and strategists that analyzes complex datasets, develops predictive and analytical models, builds production…
30+ days ago·More...View all Blackstone Group jobs in New York, NY - New York jobsSalary Search: Blackstone Data Science - Private Equity Associate salaries in New York, NY","job_1493128fcca127b4",""
"1155","Data Scientist","Daily Harvest","New York State•","Experience developing data pipelines: data warehouse management, ETL and development of scalable analytics schemas.
 Strong Python and SQL background.","Data ScientistDaily HarvestNew York State•RemoteEasily applyExperience developing data pipelines: data warehouse management, ETL and development of scalable analytics schemas.
 Strong Python and SQL background.
30+ days ago·More...View all Daily Harvest jobs in New York State - New York State jobsSalary Search: Data Scientist salaries in New York State","job_1f77d6a7d4414fd3","Remote"
"1255","Data Scientist","TJX Companies","Framingham, MA","The position requires someone who is comfortable being neck-deep in data and understands that complex models come after a deep understanding of the data and the…","Data ScientistTJX Companies3.7Framingham, MAThe position requires someone who is comfortable being neck-deep in data and understands that complex models come after a deep understanding of the data and the…
14 days ago·More...View all TJX Companies jobs in Framingham, MA - Framingham jobsSalary Search: Data Scientist salaries in Framingham, MA","job_0457b42b27649010",""
"1355","Data Scientist","BD","Franklin Lakes, NJ","Communicate statistical analysis and interpretation of data project sponsors with varying data literacy levels.
 Test and assess the quality of new tools.","Data ScientistBD3.8Franklin Lakes, NJCommunicate statistical analysis and interpretation of data project sponsors with varying data literacy levels.
 Test and assess the quality of new tools.
19 days ago·More...View all BD jobs in Franklin Lakes, NJ - Franklin Lakes jobsSalary Search: Data Scientist salaries in Franklin Lakes, NJ","job_d9b71c8cb0e685cf",""
"1455","Readership Data Scientist","Barclays","New York, NY 10019 (Midtown area)","Experience with publishing data analytics for articles, blogs, or other web-based content.
 An understanding of data pipelining and automation, with experience…","Readership Data ScientistBarclays3.9New York, NY 10019 (Midtown area)Experience with publishing data analytics for articles, blogs, or other web-based content.
 An understanding of data pipelining and automation, with experience…
30+ days ago·More...View all Barclays jobs in New York, NY - New York jobsSalary Search: Readership Data Scientist salaries in New York, NY","job_b53d4da24d7bb120",""
"1555","Senior Data Scientist, Personalization Platform","Spotify","New York, NY•","Technical competence to perform advanced analytics: coding skills (such as R, Python, or Scala), experience with analytics and visualization tools ( SQL,…","Senior Data Scientist, Personalization PlatformSpotify4.3New York, NY•RemoteTechnical competence to perform advanced analytics: coding skills (such as R, Python, or Scala), experience with analytics and visualization tools ( SQL,…
30+ days ago·More...View all Spotify jobs in New York, NY - New York jobsSalary Search: Senior Data Scientist, Personalization Platform salaries in New York, NY","job_bd692607882c29a0","Remote"
"id56","Data Scientist - Philadelphia, PA(Remote)","Apexon","United States•","Facebook Twitter Linkedin Copy URL Pay Rates : N/A Job Code : N/A No of Positions : N/A N…","Data Scientist - Philadelphia, PA(Remote)ApexonUnited States•RemoteFacebook Twitter Linkedin Copy URL Pay Rates : N/A Job Code : N/A No of Positions : N/A N…30+ days ago·More...View all Apexon jobs in United States - United States jobsSalary Search: Data Scientist - Philadelphia, PA(Remote) salaries in United States","job_c2e522b2c082520a","Remote"
"256","Data Scientist - AI/ML Retail Engineering","Apple","Austin, TX","You will collaborate cross-functionally with various fields including our AI/ML data scientists and engineers to build software solutions for Apple…","newData Scientist - AI/ML Retail EngineeringApple4.2Austin, TXYou will collaborate cross-functionally with various fields including our AI/ML data scientists and engineers to build software solutions for Apple…
3 days ago·More...View all Apple jobs in Austin, TX - Austin jobsSalary Search: Data Scientist - AI/ML Retail Engineering salaries in Austin, TXSee popular questions & answers about Apple","job_7ab80017cc5c4c31",""
"356","Senior Data Scientist, Identity Resolution","Tealium","","We are seeking an enthusiastic Data Scientist skilled in real-time Big Data frameworks to fully leverage vast data sets of the Tealium Universal Data Hub using…","Senior Data Scientist, Identity ResolutionTealium3.5Remote$135,000 - $150,000 a yearEasily applyWe are seeking an enthusiastic Data Scientist skilled in real-time Big Data frameworks to fully leverage vast data sets of the Tealium Universal Data Hub using…
Active 5 days ago·More...View all Tealium jobs in Remote - Remote jobsSalary Search: Senior Data Scientist, Identity Resolution salaries in Remote","job_183fae1d55cea656","Remote"
